n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q_max(m^2/s)
  9405.02000  8410.03000     0.00000     0.00000
 23960.30000  5680.92000     0.00000  1201.02040
 22368.30000  3937.31000     0.00000   968.34450
 20169.90000  6893.85000     0.00000     0.00000
 20473.10000  2648.57000     0.00000  1049.65160
 13119.60000  9698.78000     0.00000     0.00000
 24415.10000  6363.19000     0.00000     0.00000
  6221.05000  7683.88000     0.00000     0.00000
 15469.70000  7879.37000     0.00000     0.00000
 11451.90000  9016.50000     0.00000     0.00000
 10618.00000  7348.71000     0.00000   614.01050
  9480.83000  8410.03000     0.00000     0.00000
 24036.10000  5680.92000     0.00000     0.00000
 22444.10000  3937.31000     0.00000   968.58940
 20245.70000  6893.85000     0.00000     0.00000
 20548.90000  2648.57000     0.00000  1049.65270
 13195.50000  9698.78000     0.00000     0.00000
 24491.00000  6363.19000     0.00000     0.00000
  6296.86000  7651.94000     0.00000     0.00000
 15545.50000  7879.37000     0.00000     0.00000
 11527.70000  9016.50000     0.00000     0.00000
 10693.80000  7348.71000     0.00000   628.97600
  9556.64000  8410.03000     0.00000     0.00000
 24111.90000  5680.92000     0.00000     0.00000
 22519.90000  3937.31000     0.00000  1242.72810
 20321.50000  6893.85000     0.00000     0.00000
 20624.70000  2648.57000     0.00000     0.00000
 13271.30000  9698.78000     0.00000     0.00000
 24566.80000  6363.19000     0.00000     0.00000
  6296.86000  7704.20000     0.00000     0.00000
 15621.30000  7879.37000     0.00000     0.00000
 11603.50000  9016.50000     0.00000     0.00000
 10769.60000  7348.71000     0.00000  1275.75130
  9632.44000  8410.03000     0.00000     0.00000
 24187.70000  5680.92000     0.00000     0.00000
 22595.70000  3937.31000     0.00000  1242.72810
 20397.30000  6893.85000     0.00000     0.00000
 20700.50000  2648.57000     0.00000   884.74360
 13347.10000  9698.78000     0.00000     0.00000
 24642.60000  6363.19000     0.00000     0.00000
  6372.67000  7651.94000     0.00000     0.00000
 15697.10000  7879.37000     0.00000     0.00000
 11679.30000  9016.50000     0.00000     0.00000
 10845.40000  7348.71000     0.00000   958.48940
  9708.25000  8410.03000     0.00000     0.00000
 24263.50000  5680.92000     0.00000     0.00000
 22671.50000  3937.31000     0.00000  1242.72810
 20473.10000  6893.85000     0.00000     0.00000
 20776.30000  2648.57000     0.00000  1314.45730
 13422.90000  9698.78000     0.00000     0.00000
 24718.40000  6363.19000     0.00000     0.00000
  1191.95000  4745.48000     0.00000     0.00000
 15773.00000  7879.37000     0.00000     0.00000
 11755.10000  9016.50000     0.00000     0.00000
 10921.20000  7348.71000     0.00000  1299.68260
  9784.06000  8410.03000     0.00000     0.00000
 24339.30000  5680.92000     0.00000   900.02360
 22747.40000  3937.31000     0.00000  1242.72810
 20548.90000  6893.85000     0.00000     0.00000
 20852.10000  2648.57000     0.00000  1313.96480
 13498.70000  9698.78000     0.00000     0.00000
 24794.20000  6363.19000     0.00000     0.00000
  1217.68000  4771.21000     0.00000     0.00000
 15848.80000  7879.37000     0.00000     0.00000
 11830.90000  9016.50000     0.00000     0.00000
 10997.00000  7348.71000     0.00000  1107.08780
  9859.87000  8410.03000     0.00000     0.00000
 24415.10000  5680.92000     0.00000   900.02800
 22823.20000  3937.31000     0.00000  1242.72830
