n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        h max (m)
 24794.20000   450.11400     0.00000     3.33010
 24870.00000   450.11400     0.00000     3.00080
 24945.80000   450.11400     0.00000     3.01280
 25021.60000   450.11400     0.00000     2.99810
 25097.40000   450.11400     0.00000     3.16080
 25173.20000   450.11400     0.00000     3.33130
 25249.00000   450.11400     0.00000     3.00650
 25324.80000   450.11400     0.00000     3.00510
 25400.70000   450.11400     0.00000     3.01930
 25476.50000   450.11400     0.00000     3.01070
 25552.30000   450.11400     0.00000     3.10210
 25628.10000   450.11400     0.00000     3.00840
 25703.90000   450.11400     0.00000     3.24610
 25779.70000   450.11400     0.00000     3.02040
 23896.20000   450.11400     0.00000     4.28970
 23888.10000   453.72900     0.00000     0.00000
 23884.50000   455.33800     0.00000     4.62990
 23835.60000   477.08300     0.00000     3.76610
 23808.70000   489.09000     0.00000     0.00000
 23783.20000   500.43700     0.00000     1.48180
 23732.90000   522.84300     0.00000     4.03240
 23730.70000   523.79200     0.00000     4.03280
 23732.90000   525.92300     0.00000     4.03280
 23808.70000   525.92300     0.00000     4.52280
 23884.50000   525.92300     0.00000     4.98180
 23960.30000   525.92300     0.00000     3.12040
 24036.10000   525.92300     0.00000     3.03190
 24111.90000   525.92300     0.00000     3.00010
 24187.70000   525.92300     0.00000     3.31010
 24263.50000   525.92300     0.00000     3.31870
 24339.30000   525.92300     0.00000     3.12700
 24415.10000   525.92300     0.00000     3.06740
 24491.00000   525.92300     0.00000     3.01190
 24566.80000   525.92300     0.00000     3.43320
 24642.60000   525.92300     0.00000     3.00350
 24718.40000   525.92300     0.00000     2.99760
 24794.20000   525.92300     0.00000     3.00200
 24870.00000   525.92300     0.00000     2.99860
 24945.80000   525.92300     0.00000     3.00830
 25021.60000   525.92300     0.00000     3.02450
 25097.40000   525.92300     0.00000     3.01040
 25173.20000   525.92300     0.00000     3.00780
 25249.00000   525.92300     0.00000     3.00250
 25324.80000   525.92300     0.00000     3.10690
 25400.70000   525.92300     0.00000     3.00300
 25476.50000   525.92300     0.00000     2.99950
 25552.30000   525.92300     0.00000     3.01310
 25628.10000   525.92300     0.00000     3.00200
 25703.90000   525.92300     0.00000     3.09200
 25779.70000   525.92300     0.00000     3.12320
 23725.90000   525.92300     0.00000     4.03280
 23678.30000   547.14600     0.00000     1.22770
 23657.10000   556.59500     0.00000     0.00000
 23625.80000   570.50000     0.00000     2.95290
 23581.20000   590.34700     0.00000     4.10720
 23573.40000   593.85400     0.00000     4.10870
 23581.20000   601.73200     0.00000     4.06290
 23657.10000   601.73200     0.00000     3.15830
 23732.90000   601.73200     0.00000     2.99830
 23808.70000   601.73200     0.00000     3.59850
 23884.50000   601.73200     0.00000     3.05070
 23960.30000   601.73200     0.00000     3.03760
 24036.10000   601.73200     0.00000     3.20400
 24111.90000   601.73200     0.00000     4.05160
 24187.70000   601.73200     0.00000     3.34710
 24263.50000   601.73200     0.00000     3.13320
 24339.30000   601.73200     0.00000     3.00060
 24415.10000   601.73200     0.00000     3.00090
 24491.00000   601.73200     0.00000     3.00400
 24566.80000   601.73200     0.00000     3.00180
 24642.60000   601.73200     0.00000     2.99960
 24718.40000   601.73200     0.00000     2.99770
 24794.20000   601.73200     0.00000     3.00400
 24870.00000   601.73200     0.00000     3.04850
 24945.80000   601.73200     0.00000     2.99800
 25021.60000   601.73200     0.00000     3.27430
 25097.40000   601.73200     0.00000     3.00910
 25173.20000   601.73200     0.00000     3.00790
 25249.00000   601.73200     0.00000     2.99790
 25324.80000   601.73200     0.00000     3.00510
 25400.70000   601.73200     0.00000     3.00390
 25476.50000   601.73200     0.00000     2.99810
 25552.30000   601.73200     0.00000     3.00580
 25628.10000   601.73200     0.00000     3.03570
 25703.90000   601.73200     0.00000     3.01600
 25779.70000   601.73200     0.00000     3.26100
 23555.70000   601.73200     0.00000     3.92320
 23520.90000   617.20800     0.00000     0.00000
 23505.40000   624.09900     0.00000     0.52670
 23468.50000   640.56300     0.00000     3.91370
 23429.60000   657.85100     0.00000     4.35550
 23416.00000   663.91700     0.00000     4.53910
 23429.60000   677.54000     0.00000     4.73850
 23505.40000   677.54000     0.00000     3.01500
 23581.20000   677.54000     0.00000     3.17990
 23657.10000   677.54000     0.00000     4.24840
 23732.90000   677.54000     0.00000     3.36180
 23808.70000   677.54000     0.00000     3.44580
 23884.50000   677.54000     0.00000     2.99850
 23960.30000   677.54000     0.00000     2.99790
 24036.10000   677.54000     0.00000     3.62550
 24111.90000   677.54000     0.00000     3.08300
 24187.70000   677.54000     0.00000     3.08900
 24263.50000   677.54000     0.00000     3.05120
 24339.30000   677.54000     0.00000     3.00010
 24415.10000   677.54000     0.00000     2.99830
 24491.00000   677.54000     0.00000     3.00740
 24566.80000   677.54000     0.00000     3.00180
 24642.60000   677.54000     0.00000     3.00090
 24718.40000   677.54000     0.00000     3.03480
