n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q(m^2/s)
 25703.90000   222.68800     0.00000   224.93150
 25779.70000   222.68800     0.00000   271.71110
 24407.00000   222.68800     0.00000   792.96840
 24360.20000   243.54000     0.00000   226.16940
 24339.30000   252.82400     0.00000     0.00000
 24307.70000   266.89500     0.00000   220.60170
 24263.50000   286.57700     0.00000   396.80920
 24255.30000   290.24900     0.00000   245.28890
 24263.50000   298.49700     0.00000   336.79580
 24339.30000   298.49700     0.00000   276.87580
 24415.10000   298.49700     0.00000   219.03110
 24491.00000   298.49700     0.00000   221.68810
 24566.80000   298.49700     0.00000   223.23670
 24642.60000   298.49700     0.00000   245.30650
 24718.40000   298.49700     0.00000   263.83010
 24794.20000   298.49700     0.00000   239.22420
 24870.00000   298.49700     0.00000   295.79930
 24945.80000   298.49700     0.00000   316.37920
 25021.60000   298.49700     0.00000   264.17430
 25097.40000   298.49700     0.00000   230.52480
 25173.20000   298.49700     0.00000   295.16580
 25249.00000   298.49700     0.00000   384.11710
 25324.80000   298.49700     0.00000   285.15990
 25400.70000   298.49700     0.00000   260.66920
 25476.50000   298.49700     0.00000   250.04690
 25552.30000   298.49700     0.00000   295.70900
 25628.10000   298.49700     0.00000   262.34700
 25703.90000   298.49700     0.00000   256.87070
 25779.70000   298.49700     0.00000   273.00020
 24236.80000   298.49700     0.00000   288.13060
 24202.80000   313.60400     0.00000   277.21260
 24187.70000   320.33000     0.00000   366.95540
 24150.40000   336.95800     0.00000   229.40970
 24111.90000   354.08200     0.00000   329.06860
 24097.90000   360.31200     0.00000   341.40990
 24111.90000   374.30600     0.00000   298.20800
 24187.70000   374.30600     0.00000   223.80400
 24263.50000   374.30600     0.00000   237.13980
 24339.30000   374.30600     0.00000   220.72680
 24415.10000   374.30600     0.00000   221.45660
 24491.00000   374.30600     0.00000   258.21250
 24566.80000   374.30600     0.00000   271.22630
 24642.60000   374.30600     0.00000   410.58970
 24718.40000   374.30600     0.00000   231.30370
 24794.20000   374.30600     0.00000   239.25430
 24870.00000   374.30600     0.00000   264.82710
 24945.80000   374.30600     0.00000   296.65600
 25021.60000   374.30600     0.00000   223.58890
 25097.40000   374.30600     0.00000   223.35570
 25173.20000   374.30600     0.00000   253.60680
 25249.00000   374.30600     0.00000   292.50220
 25324.80000   374.30600     0.00000   239.17120
 25400.70000   374.30600     0.00000   224.07600
 25476.50000   374.30600     0.00000   296.05000
 25552.30000   374.30600     0.00000   463.82090
 25628.10000   374.30600     0.00000   289.58570
 25703.90000   374.30600     0.00000   297.65470
 25779.70000   374.30600     0.00000   255.87520
 24066.50000   374.30600     0.00000   334.93650
 24045.50000   383.66600     0.00000   429.37060
 24036.10000   387.83400     0.00000     0.00000
 23993.00000   407.02000     0.00000   139.98350
